,route10,route10,route10,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProSys,0.5585874583113445,0.0,3,0.4757490881021363,0.000826254064425645,3,0.19805696459061994,0.0029720062896652923,3,0.29742910701914854,0.005083584137183648,3,0.3332666322446316,0.0016540857602539226,3,0.3786706639869301,0.002679387111988453,3,0.2606378620467311,0.0015420357350532808,3,0.27738478418605644,0.0013712482970056488,3,11.315708975313944,0.32580616925384226,3,0.4126768125530746,0.010241845735092825,3,0.6226987397737879,0.0012656327518303812,3,0.8317354572438947,0.0061654031717968075,3
Without_LTR,0.5585874583113445,0.0,3,0.4757490881021363,0.000826254064425645,3,0.2022240341366117,0.0013876727038115086,3,0.26515119663041226,0.0022694024437887837,3,0.2820314918204576,0.0017606084549226892,3,0.29904658707374243,0.00102488817221021,3,0.24205936014715243,0.0012649798568484735,3,0.2488198029213401,0.0004878905055532849,3,,,0,,,0,,,0,,,0
Without_RGNN_temperature,0.5585874583113445,0.0,3,0.4757490881021363,0.000826254064425645,3,0.19805696459061994,0.0029720062896652923,3,0.29742910701914854,0.005083584137183648,3,0.3332666322446316,0.0016540857602539226,3,0.3786706639869301,0.002679387111988453,3,0.2606378620467311,0.0015420357350532808,3,0.27738478418605644,0.0013712482970056488,3,13.62662515106463,0.2936439001575657,3,0.34699766180612707,0.012971726982790635,3,0.5562403104312623,0.012712594116941941,3,0.7820953475142306,0.00744640403731013,3
B1_ProductNB,0.5585874583113445,,1,0.2781592221101371,,1,0.07876335181020037,,1,0.13050812197355097,,1,0.15354480001940307,,1,0.19439833196695014,,1,0.11598849114454769,,1,0.1292258153732839,,1,,,0,,,0,,,0,,,0
B2_ProductGNN,0.5585874583113445,0.0,3,0.32999450957156856,0.009789111326256062,3,0.05055499659272499,0.0050976716607989475,3,0.10106153859296084,0.0073636702489232615,3,0.13348998244374896,0.010954923742113615,3,0.1884606087305596,0.00888188937241089,3,0.09281115904416888,0.006352485418872287,3,0.10789305269795528,0.006986895614416969,3,,,0,,,0,,,0,,,0
B3_SequentialFNN,0.5585874583113445,0.0,3,0.40093452450780037,0.001858198814779066,3,0.1380366962260832,0.005898671945899487,3,0.2011208072599309,0.0049938289193411,3,0.22760914770874097,0.005257666452606814,3,0.2615526267806277,0.006135520122487664,3,0.18205495207346037,0.0050309110266468825,3,0.19411964773942833,0.004827415734606424,3,12.276804103025938,0.1884028306554288,3,0.47975199907812954,0.015820503835864405,3,0.6614360172059418,0.010966646621898767,3,0.809690626437544,0.008873972129186085,3
B4_ReactionGCNN,0.5585874583113445,0.0,3,0.331076617850402,0.0045994358231145685,3,0.05312381354903926,0.0016522396357213245,3,0.10085631327842447,0.003740566762214565,3,0.1295786871403422,0.007587057872285562,3,0.17840514884302497,0.0041854765720301355,3,0.09219783107330637,0.0026917788493979245,3,0.10601874237893359,0.003940451360937271,3,,,0,,,0,,,0,,,0
Without_KNN,0.5585874583113445,0.0,3,0.4044102774318517,0.0026720564221722628,3,0.15008738788771658,0.006693797513673328,3,0.23544621318720949,0.0021472194327296877,3,0.271162649805671,0.0007311407082589557,3,0.313133960673659,0.005013573392329955,3,0.20606205344116788,0.003848935408461177,3,0.2235125231339612,0.002796506556729017,3,,,0,,,0,,,0,,,0
Without_ReaFNN,0.5585874583113445,0.0,3,0.46825834278102235,0.0,3,0.1822248710237421,0.016865568336116413,3,0.26416418314622675,0.01977983313070594,3,0.2951665356140611,0.020273006155063982,3,0.3415810537993518,0.017970604962400723,3,0.23710911632350382,0.018093409036882096,3,0.24895255731351681,0.018299738014310448,3,,,0,,,0,,,0,,,0
