,,route10,route10,route10,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c,temp_n,temp_n,temp_n
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckmann,ProSys,0.6893617021276596,0.0,3,0.4156028368794326,0.0024568096561260705,3,0.12340425531914893,0.041036811748906186,3,0.18014184397163122,0.03193852552963888,3,0.21702127659574466,0.03323510500385809,3,0.26382978723404255,0.029481715873512792,3,0.16906333658249428,0.035185645294577836,3,0.17961434837578324,0.03430013083587866,3,12.58322817750377,1.650496346554031,3,0.3646304675716441,0.08677534884116736,3,0.5723227752639518,0.02449332315146176,3,0.8014328808446455,0.026448663749193874,3,67.0,1.7320508075688772,3
Beckmann,Without_LTR,0.6893617021276596,0.0,3,0.4156028368794326,0.0024568096561260705,3,0.12907801418439716,0.010708985014568446,3,0.1914893617021277,0.01534277138495314,3,0.21134751773049643,0.006500107368731677,3,0.24113475177304966,0.0024568096561260705,3,0.17149700316992963,0.008543461115417062,3,0.17858693804644057,0.00524581925384726,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Beckmann,Without_RGNN_temperature,0.6893617021276596,0.0,3,0.4156028368794326,0.0024568096561260705,3,0.12340425531914893,0.041036811748906186,3,0.18014184397163122,0.03193852552963888,3,0.21702127659574466,0.03323510500385809,3,0.26382978723404255,0.029481715873512792,3,0.16906333658249428,0.035185645294577836,3,0.17961434837578324,0.03430013083587866,3,13.750514736598793,1.7096672040857992,3,0.30935143288084466,0.051857026440787664,3,0.5134992458521871,0.06541957344664913,3,0.7867269984917044,0.038141691991712925,3,67.0,1.7320508075688772,3
Beckmann,B1_ProductNB,0.6893617021276596,,1,0.13617021276595745,,1,0.01702127659574468,,1,0.05531914893617021,,1,0.05531914893617021,,1,0.08936170212765958,,1,0.04128469368784681,,1,0.047391237117098146,,1,,,0,,,0,,,0,,,0,0.0,,1
Beckmann,B2_ProductGNN,0.6893617021276596,0.0,3,0.1943262411347518,0.020109853728734507,3,0.02269503546099291,0.00650010736873169,3,0.03687943262411347,0.00650010736873169,3,0.05390070921985816,0.00982723862450427,3,0.09929078014184396,0.00885815318921758,3,0.04182211553095708,0.006919343210838295,3,0.049188236219435987,0.00662769711400214,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Beckmann,B3_SequentialFNN,0.6893617021276596,0.0,3,0.32340425531914896,0.008510638297872311,3,0.11914893617021276,0.008510638297872339,3,0.1673758865248227,0.0024568096561260705,3,0.1872340425531915,0.018548506142726264,3,0.20709219858156028,0.01771630637843517,3,0.15270937645405386,0.0052927724020760455,3,0.15682765391762354,0.007047687447534343,3,18.647270489784233,0.595882922203315,3,0.3653628117913832,0.02846205851197207,3,0.5003023431594861,0.010660812303268475,3,0.6681878306878307,0.03992797775043757,3,47.333333333333336,2.0816659994661326,3
Beckmann,B4_ReactionGCNN,0.6893617021276596,0.0,3,0.28085106382978725,0.02369261430991497,3,0.02553191489361702,0.00425531914893617,3,0.06099290780141844,0.00982723862450428,3,0.09645390070921984,0.02702490621738673,3,0.14326241134751772,0.021417970029136875,3,0.05912865114893173,0.003791787122426527,3,0.07165717045878293,0.00958806453570655,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Beckmann,Without_KNN,0.6893617021276596,0.0,3,0.3276595744680851,0.023692614309914973,3,0.07801418439716312,0.01300021473746338,3,0.14184397163120568,0.02564984584400726,3,0.1673758865248227,0.017197667592882465,3,0.2028368794326241,0.03439533518576495,3,0.12278974210210264,0.018643730802210476,3,0.13371066402339535,0.02026763282283784,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Beckmann,Without_ReaFNN,0.6893617021276596,0.0,3,0.40425531914893614,0.0,3,0.10638297872340426,0.059116782933828965,3,0.15602836879432624,0.06678727584109818,3,0.17588652482269504,0.06839468624817698,3,0.2226950354609929,0.034657565171264164,3,0.1442741321445032,0.058544366727199586,3,0.15065807700480685,0.05038673638196742,3,,,0,,,0,,,0,,,0,0.0,0.0,3
