family,seed,n,route_miss,pool_miss,ranking_miss,hit
Beckmann,0,235,71,65,25,74
Buchwald-HartwigCross-Coupling,0,1099,330,121,70,578
Chan_LamCoupling,0,390,88,18,48,236
DielsAlder,0,762,478,19,65,200
Friedel-CraftsAcylation,0,475,141,26,89,219
Friedel-CraftsAlkylation,0,899,410,30,66,393
Beckmann,1,235,71,64,39,61
Buchwald-HartwigCross-Coupling,1,1099,330,119,73,577
Chan_LamCoupling,1,390,88,17,49,236
DielsAlder,1,762,478,20,64,200
Friedel-CraftsAcylation,1,475,141,26,71,237
Friedel-CraftsAlkylation,1,899,410,26,56,407
Beckmann,2,235,71,63,38,63
Buchwald-HartwigCross-Coupling,2,1099,330,115,80,574
Chan_LamCoupling,2,390,88,18,35,249
DielsAlder,2,762,478,19,60,205
Friedel-CraftsAcylation,2,475,141,26,67,241
Friedel-CraftsAlkylation,2,899,410,27,46,416
