family,seed,arm,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
Beckmann,0,full,0.42127659574468085,0.19574468085106383,0.23829787234042554,0.25957446808510637,0.3148936170212766,0.23268238094177102,0.23964821466700723,67,10.516685702985075,0.3582089552238806,0.582089552238806,0.8507462686567164
Beckmann,0,no_ltr,0.42127659574468085,0.14893617021276595,0.22127659574468084,0.2297872340425532,0.25957446808510637,0.19384753161800478,0.19740220134862943,0,,,,
Beckmann,0,no_rgnn_temperature,0.42127659574468085,0.19574468085106383,0.23829787234042554,0.25957446808510637,0.3148936170212766,0.23268238094177102,0.23964821466700723,67,12.589014289552239,0.34328358208955223,0.5970149253731343,0.8208955223880597
Buchwald-HartwigCross-Coupling,0,full,0.5896269335759782,0.3348498635122839,0.448589626933576,0.4904458598726115,0.5259326660600546,0.40270534306546635,0.4227465736715314,537,12.332857908752327,0.3407821229050279,0.5623836126629422,0.813780260707635
Buchwald-HartwigCross-Coupling,0,no_ltr,0.5896269335759782,0.27388535031847133,0.3421292083712466,0.36032757051865333,0.3776160145586897,0.3174330857082626,0.3234737488353466,0,,,,
Buchwald-HartwigCross-Coupling,0,no_rgnn_temperature,0.5896269335759782,0.3348498635122839,0.448589626933576,0.4904458598726115,0.5259326660600546,0.40270534306546635,0.4227465736715314,537,13.013356694599626,0.3407821229050279,0.5456238361266295,0.8100558659217877
Chan_LamCoupling,0,full,0.7282051282051282,0.3128205128205128,0.45384615384615384,0.5282051282051282,0.6051282051282051,0.40492184356150185,0.43640541596595706,267,5.709333910486891,0.700374531835206,0.8576779026217228,0.9400749063670412
Chan_LamCoupling,0,no_ltr,0.7282051282051282,0.40512820512820513,0.5307692307692308,0.5435897435897435,0.5666666666666667,0.47111266518724965,0.48645529130087195,0,,,,
Chan_LamCoupling,0,no_rgnn_temperature,0.7282051282051282,0.3128205128205128,0.45384615384615384,0.5282051282051282,0.6051282051282051,0.40492184356150185,0.43640541596595706,267,6.779203791385768,0.5955056179775281,0.7677902621722846,0.947565543071161
DielsAlder,0,full,0.34776902887139105,0.14304461942257218,0.2047244094488189,0.22965879265091863,0.26246719160104987,0.18313413818775892,0.1927211370269743,208,18.220098675,0.27403846153846156,0.4375,0.6778846153846154
DielsAlder,0,no_ltr,0.34776902887139105,0.1377952755905512,0.1837270341207349,0.1916010498687664,0.20734908136482938,0.16557466898699708,0.17037293016656788,0,,,,
DielsAlder,0,no_rgnn_temperature,0.34776902887139105,0.14304461942257218,0.2047244094488189,0.22965879265091863,0.26246719160104987,0.18313413818775892,0.1927211370269743,208,23.06339378932692,0.20192307692307693,0.35096153846153844,0.5769230769230769
Friedel-CraftsAcylation,0,full,0.6484210526315789,0.21473684210526317,0.3242105263157895,0.3768421052631579,0.4610526315789474,0.2929390913315914,0.3092579373358365,270,11.075046804222223,0.37777777777777777,0.6518518518518519,0.8555555555555555
Friedel-CraftsAcylation,0,no_ltr,0.6484210526315789,0.30105263157894735,0.4189473684210526,0.4463157894736842,0.4568421052631579,0.37023093396856677,0.3797196572133708,0,,,,
Friedel-CraftsAcylation,0,no_rgnn_temperature,0.6484210526315789,0.21473684210526317,0.3242105263157895,0.3768421052631579,0.4610526315789474,0.2929390913315914,0.3092579373358365,270,12.260556414851852,0.40370370370370373,0.6259259259259259,0.8111111111111111
Friedel-CraftsAlkylation,0,full,0.5105672969966629,0.23248053392658508,0.353726362625139,0.403781979977753,0.43715239154616237,0.3049050017115503,0.3265031729886404,436,10.949838716674313,0.3646788990825688,0.6559633027522935,0.8646788990825688
Friedel-CraftsAlkylation,0,no_ltr,0.5105672969966629,0.20800889877641823,0.25806451612903225,0.2703003337041157,0.2825361512791991,0.24073982683770137,0.24423547288356268,0,,,,
Friedel-CraftsAlkylation,0,no_rgnn_temperature,0.5105672969966629,0.23248053392658508,0.353726362625139,0.403781979977753,0.43715239154616237,0.3049050017115503,0.3265031729886404,436,13.403460982591742,0.28440366972477066,0.5298165137614679,0.7935779816513762
Beckmann,1,full,0.425531914893617,0.10638297872340424,0.18297872340425533,0.2297872340425532,0.25957446808510637,0.16158056886035005,0.1729707858037118,71,12.52414143802817,0.323943661971831,0.5915492957746479,0.8732394366197183
Beckmann,1,no_ltr,0.425531914893617,0.12765957446808512,0.18297872340425533,0.21702127659574466,0.26382978723404255,0.17411949793077255,0.18528162529347825,0,,,,
Beckmann,1,no_rgnn_temperature,0.425531914893617,0.10638297872340424,0.18297872340425533,0.2297872340425532,0.25957446808510637,0.16158056886035005,0.1729707858037118,71,14.926043573239436,0.2676056338028169,0.4788732394366197,0.7605633802816901
