family,seed,cover_difference,sys1_difference,sys3_difference,sys5_difference,sys10_difference,mrr_difference,ndcg10_difference,temp_mae_difference,temp_within_5c_difference,temp_within_10c_difference,temp_within_20c_difference
Beckmann,0,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.11881658576068155,0.02985074626865669,-0.08955223880597019,-0.02985074626865669
Buchwald-HartwigCross-Coupling,0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.053077437405207206,-0.014897579143389184,-0.0018621973929237035,-0.003724394785847296
Chan_LamCoupling,0,0.0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,-0.5738197091721897,0.05992509363295884,0.022471910112359494,0.0
DielsAlder,0,5.551115123125783e-17,8.326672684688674e-17,0.0,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,0.0,-0.03561628138444206,0.03365384615384617,-0.004807692307692291,-0.009615384615384581
Friedel-CraftsAcylation,0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.22905461038205566,-0.059259259259259234,-0.007407407407407307,0.0
Friedel-CraftsAlkylation,0,0.0,8.326672684688674e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,-0.15766099741204975,-0.027522935779816515,0.04357798165137605,0.01834862385321101
Beckmann,1,0.0,4.163336342344337e-17,2.7755575615628914e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,2.458091370274312,-0.1408450704225352,-0.12676056338028174,-0.028169014084507116
Buchwald-HartwigCross-Coupling,1,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.3849656179845855,-0.016728624535315983,-0.0185873605947956,-0.0037174721189591198
Chan_LamCoupling,1,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.5189683056412999,-0.011194029850746245,-0.02238805970149249,-0.00746268656716409
DielsAlder,1,0.0,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,8.326672684688674e-17,1.9727764237068115,-0.10096153846153844,-0.009615384615384581,-0.04807692307692302
Friedel-CraftsAcylation,1,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,-0.1272379092224618,-0.0444444444444444,-0.022222222222222254,0.011111111111111072
Friedel-CraftsAlkylation,1,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.27738137540101704,0.018181818181818243,-0.03181818181818186,-0.006818181818181834
Beckmann,2,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.4256869773769747,-0.05633802816901401,-0.05633802816901412,-0.014084507042253502
Buchwald-HartwigCross-Coupling,2,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.24800673740558743,-0.029520295202952074,-0.016605166051660514,0.009225092250922495
Chan_LamCoupling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328883312588804,-0.011235955056179803,-0.01872659176029956,-0.0037453183520599342
DielsAlder,2,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17,8.326672684688674e-17,0.0,5.551115123125783e-17,2.7755575615628914e-17,-0.18260113094088481,0.019230769230769273,0.04807692307692307,0.0625
Friedel-CraftsAcylation,2,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,-0.563530342159261,0.007407407407407474,0.051851851851851816,0.01851851851851849
Friedel-CraftsAlkylation,2,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.5080774800672909,-0.03416856492027337,-0.011389521640091105,-0.018223234624145768
