family,seed,stratifier,value,n,route10,cover,sys1,sys3,sys5,sys10
Beckmann,0,seen_product,False,182,0.7307692307692307,0.42857142857142855,0.22527472527472528,0.27472527472527475,0.2857142857142857,0.3241758241758242
Beckmann,0,seen_product,True,53,0.5849056603773585,0.39622641509433965,0.09433962264150944,0.11320754716981132,0.16981132075471697,0.2830188679245283
Beckmann,0,context_in_train_library,False,19,0.5263157894736842,0.0,0.0,0.0,0.0,0.0
Beckmann,0,context_in_train_library,True,216,0.7129629629629629,0.4583333333333333,0.21296296296296297,0.25925925925925924,0.2824074074074074,0.3425925925925926
Buchwald-HartwigCross-Coupling,0,seen_product,False,1002,0.7075848303393214,0.5978043912175649,0.35528942115768464,0.468063872255489,0.5099800399201597,0.5419161676646707
Buchwald-HartwigCross-Coupling,0,seen_product,True,97,0.6185567010309279,0.5051546391752577,0.12371134020618557,0.24742268041237114,0.28865979381443296,0.36082474226804123
Buchwald-HartwigCross-Coupling,0,context_in_train_library,False,42,0.47619047619047616,0.0,0.0,0.0,0.0,0.0
Buchwald-HartwigCross-Coupling,0,context_in_train_library,True,1057,0.7086092715231788,0.6130558183538316,0.34815515610217596,0.4664143803216651,0.5099337748344371,0.5468306527909177
Chan_LamCoupling,0,seen_product,False,362,0.8093922651933702,0.7624309392265194,0.3314917127071823,0.48066298342541436,0.5580110497237569,0.6353591160220995
Chan_LamCoupling,0,seen_product,True,28,0.32142857142857145,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.21428571428571427
Chan_LamCoupling,0,context_in_train_library,False,5,0.4,0.0,0.0,0.0,0.0,0.0
Chan_LamCoupling,0,context_in_train_library,True,385,0.7792207792207793,0.7376623376623377,0.3168831168831169,0.4597402597402597,0.535064935064935,0.612987012987013
DielsAlder,0,seen_product,False,740,0.3716216216216216,0.34594594594594597,0.14324324324324325,0.20135135135135135,0.22702702702702704,0.2594594594594595
DielsAlder,0,seen_product,True,22,0.4090909090909091,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.3181818181818182,0.36363636363636365
DielsAlder,0,context_in_train_library,False,27,0.14814814814814814,0.0,0.0,0.0,0.0,0.0
DielsAlder,0,context_in_train_library,True,735,0.38095238095238093,0.36054421768707484,0.14829931972789115,0.21224489795918366,0.23809523809523808,0.272108843537415
Friedel-CraftsAcylation,0,seen_product,False,435,0.7149425287356321,0.664367816091954,0.22988505747126436,0.3448275862068966,0.4,0.4850574712643678
Friedel-CraftsAcylation,0,seen_product,True,40,0.575,0.475,0.05,0.1,0.125,0.2
Friedel-CraftsAcylation,0,context_in_train_library,False,17,0.47058823529411764,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAcylation,0,context_in_train_library,True,458,0.7117903930131004,0.6724890829694323,0.22270742358078602,0.33624454148471616,0.39082969432314413,0.4781659388646288
Friedel-CraftsAlkylation,0,seen_product,False,848,0.5507075471698113,0.5176886792452831,0.24056603773584906,0.3608490566037736,0.4115566037735849,0.44221698113207547
Friedel-CraftsAlkylation,0,seen_product,True,51,0.43137254901960786,0.39215686274509803,0.09803921568627451,0.23529411764705882,0.27450980392156865,0.35294117647058826
Friedel-CraftsAlkylation,0,context_in_train_library,False,21,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAlkylation,0,context_in_train_library,True,878,0.5501138952164009,0.5227790432801822,0.23804100227790434,0.3621867881548975,0.4134396355353075,0.44760820045558086
Beckmann,1,seen_product,False,182,0.7307692307692307,0.4340659340659341,0.12637362637362637,0.2032967032967033,0.25274725274725274,0.29120879120879123
Beckmann,1,seen_product,True,53,0.5849056603773585,0.39622641509433965,0.03773584905660377,0.11320754716981132,0.1509433962264151,0.1509433962264151
Beckmann,1,context_in_train_library,False,19,0.5263157894736842,0.0,0.0,0.0,0.0,0.0
Beckmann,1,context_in_train_library,True,216,0.7129629629629629,0.46296296296296297,0.11574074074074074,0.19907407407407407,0.25,0.2824074074074074
