family,method,seed,split,num_product_queries,condition_pool_coverage,condition_top1_all,condition_top3_all,condition_top5_all,condition_top10_all
Beckmann,product_naive_bayes,0,val,235,0.225531914893617,0.05531914893617021,0.13617021276595745,0.1574468085106383,0.19148936170212766
Beckmann,product_naive_bayes,0,test,235,0.225531914893617,0.0425531914893617,0.10212765957446808,0.14042553191489363,0.17872340425531916
Beckmann,product_gnn,0,val,235,0.28085106382978725,0.03404255319148936,0.09787234042553192,0.12340425531914893,0.20425531914893616
Beckmann,product_gnn,0,test,235,0.32340425531914896,0.05106382978723404,0.11063829787234042,0.15319148936170213,0.225531914893617
Beckmann,product_gnn,1,val,235,0.22127659574468084,0.03404255319148936,0.059574468085106386,0.09361702127659574,0.14893617021276595
Beckmann,product_gnn,1,test,235,0.251063829787234,0.0425531914893617,0.07234042553191489,0.10638297872340426,0.1574468085106383
Beckmann,product_gnn,2,val,235,0.28085106382978725,0.03829787234042553,0.07659574468085106,0.10638297872340426,0.19574468085106383
Beckmann,product_gnn,2,test,235,0.28936170212765955,0.03404255319148936,0.059574468085106386,0.09361702127659574,0.1829787234042553
Buchwald-HartwigCross-Coupling,product_naive_bayes,0,val,1097,0.46855059252506837,0.15132178669097537,0.2479489516864175,0.3099361896080219,0.37830446672743845
Buchwald-HartwigCross-Coupling,product_naive_bayes,0,test,1099,0.4822565969062784,0.1610555050045496,0.26660600545950863,0.3175614194722475,0.4094631483166515
Buchwald-HartwigCross-Coupling,product_gnn,0,val,1097,0.41112123974475845,0.028258887876025523,0.09845031905195989,0.1814038286235187,0.2835004557885141
Buchwald-HartwigCross-Coupling,product_gnn,0,test,1099,0.4240218380345769,0.047315741583257506,0.10555050045495905,0.18198362147406733,0.2875341219290264
Buchwald-HartwigCross-Coupling,product_gnn,1,val,1097,0.3701002734731085,0.032816773017319965,0.10027347310847767,0.15587967183226983,0.2488605287146764
Buchwald-HartwigCross-Coupling,product_gnn,1,test,1099,0.3830755232029117,0.0373066424021838,0.10282074613284804,0.16833484986351227,0.27388535031847133
Buchwald-HartwigCross-Coupling,product_gnn,2,val,1097,0.3810391978122151,0.04649042844120328,0.10027347310847767,0.16773017319963537,0.25888787602552416
Buchwald-HartwigCross-Coupling,product_gnn,2,test,1099,0.3921747042766151,0.039126478616924476,0.10555050045495905,0.16924476797088261,0.2775250227479527
Chan_LamCoupling,product_naive_bayes,0,val,390,0.5974358974358974,0.2,0.36666666666666664,0.44358974358974357,0.5333333333333333
Chan_LamCoupling,product_naive_bayes,0,test,390,0.6230769230769231,0.21794871794871795,0.36666666666666664,0.43846153846153846,0.5461538461538461
Chan_LamCoupling,product_gnn,0,val,390,0.7435897435897436,0.18461538461538463,0.35384615384615387,0.48205128205128206,0.6333333333333333
Chan_LamCoupling,product_gnn,0,test,390,0.7128205128205128,0.18461538461538463,0.3717948717948718,0.47435897435897434,0.6128205128205129
Chan_LamCoupling,product_gnn,1,val,390,0.7051282051282052,0.16153846153846155,0.35128205128205126,0.43846153846153846,0.5820512820512821
Chan_LamCoupling,product_gnn,1,test,390,0.7307692307692307,0.14358974358974358,0.3435897435897436,0.4358974358974359,0.5897435897435898
Chan_LamCoupling,product_gnn,2,val,390,0.676923076923077,0.12051282051282051,0.28717948717948716,0.36923076923076925,0.541025641025641
Chan_LamCoupling,product_gnn,2,test,390,0.676923076923077,0.12564102564102564,0.27692307692307694,0.36923076923076925,0.5128205128205128
DielsAlder,product_naive_bayes,0,val,761,0.5098554533508541,0.19973718791064388,0.3508541392904074,0.41392904073587383,0.480946123521682
DielsAlder,product_naive_bayes,0,test,762,0.526246719160105,0.2532808398950131,0.36089238845144356,0.410761154855643,0.46194225721784776
DielsAlder,product_gnn,0,val,761,0.6964520367936925,0.16031537450722733,0.3679369250985545,0.4664914586070959,0.5939553219448095
DielsAlder,product_gnn,0,test,762,0.7178477690288714,0.2152230971128609,0.400262467191601,0.49343832020997375,0.6299212598425197
DielsAlder,product_gnn,1,val,761,0.7135348226018396,0.20105124835742444,0.392904073587385,0.4835742444152431,0.5913272010512484
DielsAlder,product_gnn,1,test,762,0.7007874015748031,0.22703412073490814,0.40288713910761154,0.4881889763779528,0.60498687664042
DielsAlder,product_gnn,2,val,761,0.6846254927726675,0.17608409986859397,0.35742444152431013,0.45860709592641263,0.5703022339027596
DielsAlder,product_gnn,2,test,762,0.6889763779527559,0.20341207349081364,0.39501312335958005,0.46981627296587924,0.5918635170603674
Friedel-CraftsAcylation,product_naive_bayes,0,val,476,0.6071428571428571,0.3319327731092437,0.453781512605042,0.5147058823529411,0.5672268907563025
Friedel-CraftsAcylation,product_naive_bayes,0,test,475,0.6357894736842106,0.35368421052631577,0.47578947368421054,0.5305263157894737,0.5957894736842105
Friedel-CraftsAcylation,product_gnn,0,val,476,0.6512605042016807,0.17436974789915966,0.32563025210084034,0.40756302521008403,0.5336134453781513
Friedel-CraftsAcylation,product_gnn,0,test,475,0.7031578947368421,0.1831578947368421,0.32,0.40842105263157896,0.5747368421052632
Friedel-CraftsAcylation,product_gnn,1,val,476,0.6365546218487395,0.1638655462184874,0.32983193277310924,0.40756302521008403,0.5189075630252101
Friedel-CraftsAcylation,product_gnn,1,test,475,0.6589473684210526,0.1831578947368421,0.3473684210526316,0.4231578947368421,0.5326315789473685
Friedel-CraftsAcylation,product_gnn,2,val,476,0.6407563025210085,0.17016806722689076,0.2920168067226891,0.39285714285714285,0.5252100840336135
Friedel-CraftsAcylation,product_gnn,2,test,475,0.6736842105263158,0.1705263157894737,0.29894736842105263,0.3936842105263158,0.5347368421052632
Friedel-CraftsAlkylation,product_naive_bayes,0,val,896,0.41964285714285715,0.1640625,0.26785714285714285,0.3013392857142857,0.3671875
Friedel-CraftsAlkylation,product_naive_bayes,0,test,899,0.407119021134594,0.1457174638487208,0.2347052280311457,0.27808676307007785,0.3403781979977753
Friedel-CraftsAlkylation,product_gnn,0,val,896,0.7611607142857143,0.22321428571428573,0.4408482142857143,0.5412946428571429,0.65625
Friedel-CraftsAlkylation,product_gnn,0,test,899,0.7385984427141268,0.26585094549499444,0.44938820912124583,0.5328142380422692,0.639599555061179
Friedel-CraftsAlkylation,product_gnn,1,val,896,0.78125,0.26785714285714285,0.48549107142857145,0.5580357142857143,0.65625
Friedel-CraftsAlkylation,product_gnn,1,test,899,0.7719688542825361,0.2914349276974416,0.4694104560622914,0.5595105672969967,0.6718576195773082
Friedel-CraftsAlkylation,product_gnn,2,val,896,0.7689732142857143,0.22991071428571427,0.4375,0.5301339285714286,0.65625
Friedel-CraftsAlkylation,product_gnn,2,test,899,0.7508342602892102,0.2625139043381535,0.45383759733036705,0.5294771968854283,0.6496106785317018
