family,seed,n,route_miss,pool_miss,ranking_miss,hit
Beckmann,0,235,73,64,28,70
Beckmann,1,235,73,65,39,58
Beckmann,2,235,73,64,40,58
Buchwald-HartwigCross-Coupling,0,1099,436,95,67,501
Buchwald-HartwigCross-Coupling,1,1099,436,93,70,500
Buchwald-HartwigCross-Coupling,2,1099,436,87,65,511
Chan_LamCoupling,0,390,117,19,42,212
Chan_LamCoupling,1,390,117,19,47,207
Chan_LamCoupling,2,390,117,19,47,207
DielsAlder,0,762,505,21,59,177
DielsAlder,1,762,505,22,41,194
DielsAlder,2,762,505,21,52,184
Friedel-CraftsAcylation,0,475,181,19,75,200
Friedel-CraftsAcylation,1,475,181,17,68,209
Friedel-CraftsAcylation,2,475,181,17,57,220
Friedel-CraftsAlkylation,0,899,537,23,46,293
Friedel-CraftsAlkylation,1,899,537,22,46,294
Friedel-CraftsAlkylation,2,899,537,25,33,304
