family,split,expert_seed,n_queries,no_route_queries,route_count,mean_routes_per_original_query,max_routes_per_query,route_recall_top1,route_recall_top3,route_recall_top5,route_recall_top10
Beckmann,val,1,235,2,2094,8.91063829787234,10,0.46808510638297873,0.6,0.6510638297872341,0.6680851063829787
Beckmann,test,1,235,5,2026,8.62127659574468,10,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596
Buchwald-HartwigCross-Coupling,val,1,1097,20,8604,7.843208751139471,10,0.3855970829535096,0.5387420237010028,0.5715587967183227,0.6061987237921604
Buchwald-HartwigCross-Coupling,test,1,1099,25,8476,7.712465878070973,10,0.3994540491355778,0.5341219290263877,0.5732484076433121,0.6032757051865332
Chan_LamCoupling,val,1,390,1,3363,8.623076923076923,10,0.6153846153846154,0.7128205128205128,0.735897435897436,0.7461538461538462
Chan_LamCoupling,test,1,390,0,3234,8.292307692307693,10,0.5641025641025641,0.6461538461538462,0.6717948717948717,0.7
DielsAlder,val,1,761,24,6004,7.889618922470434,10,0.17345597897503284,0.25229960578186594,0.28383705650459923,0.3088042049934297
DielsAlder,test,1,762,22,6104,8.010498687664041,10,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906
Friedel-CraftsAcylation,val,1,476,14,3729,7.834033613445378,10,0.37815126050420167,0.48739495798319327,0.5168067226890757,0.5567226890756303
Friedel-CraftsAcylation,test,1,475,9,3860,8.126315789473685,10,0.3894736842105263,0.5305263157894737,0.5621052631578948,0.6189473684210526
Friedel-CraftsAlkylation,val,1,896,2,8052,8.986607142857142,10,0.20982142857142858,0.29910714285714285,0.34375,0.3861607142857143
Friedel-CraftsAlkylation,test,1,899,5,8045,8.948832035595105,10,0.21023359288097887,0.3203559510567297,0.3559510567296997,0.40266963292547275
