family,seed,n,route_recall_top1,route_recall_top3,route_recall_top5,route_recall_top10,best_sha256,route_cache_sha256,original_query_cache_sha256
Beckmann,0,235,0.4127659574468085,0.6042553191489362,0.6340425531914894,0.6638297872340425,eb9a3dfec37c2cc218a862993c609e47beedf263b03ebd3fe320cb5ec8c3f123,b43bee139528409b398329e1b2710b0b249dd356e866e54a508b35e3d8396184,da01367b3c2c7ec4b4c8487ea754f12007d5a85158cef2d7415f1633cfc8d219
Beckmann,1,235,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596,5dcd9e2831406106e6a1dcecfdf23af0f959658159ce0a6588527df1edfd1cfb,751ebe6ddb788fbd4ff565d6690f37014ca4f47fd38648c81bb992f38205129a,da01367b3c2c7ec4b4c8487ea754f12007d5a85158cef2d7415f1633cfc8d219
Beckmann,2,235,0.43829787234042555,0.5787234042553191,0.6127659574468085,0.6595744680851063,625b3f12a5cbbeeb9806370f3d9d1d89cc0d9a9593d91b2a93b7ca2e73bec5e0,d89eef0b6b67ae2df42da4af9dd5a301dbbc5599f3b678a710bcadcb15dcbe06,da01367b3c2c7ec4b4c8487ea754f12007d5a85158cef2d7415f1633cfc8d219
Chan_LamCoupling,0,390,0.5358974358974359,0.6615384615384615,0.676923076923077,0.7,fd4991502de9612b53982d839124dcbcf3fd48509225ed8b352c266ecf3ad25d,03f744a105c1ebe8f5e3c562f8d066c1f867bf6f177209f9e266948572ea20bd,6f8bc3c6b7695d3503d06b08cdb9ca26527a5fded9bb281bec464345f52a4bed
Chan_LamCoupling,1,390,0.5641025641025641,0.6461538461538462,0.6717948717948717,0.7,6b63bdf999d2305fdd4136272d3239a723f89e6ed53dec123b46cf0b0920499c,263a9479498b529371036012cd89a1502fa99c9db377791818cc5134277f982b,6f8bc3c6b7695d3503d06b08cdb9ca26527a5fded9bb281bec464345f52a4bed
Chan_LamCoupling,2,390,0.558974358974359,0.6487179487179487,0.6615384615384615,0.6794871794871795,9b267afd34297a2977f044451734f93e76e76484ef3a6f7167a5b15588f26010,b29c8a9bfa80713c66de4d4126f641aa1d3dbd1df56901c3c15befa2c5bd5316,6f8bc3c6b7695d3503d06b08cdb9ca26527a5fded9bb281bec464345f52a4bed
Friedel-CraftsAcylation,0,475,0.40210526315789474,0.5094736842105263,0.5536842105263158,0.608421052631579,993eb8d205459cbc8f00b2ddb1de0f9444a6307cc356cfeb7f0ebb0a3998623d,5951bf5c44657dfcc91ed17820ec19545bd78867147759f4692a5475b34a0b47,a7431fb74a0ecc273dfe2d3845ef1c122aad64367191662289a19867a686b055
Friedel-CraftsAcylation,1,475,0.3894736842105263,0.5305263157894737,0.5621052631578948,0.6189473684210526,d05bf56e631eedd8005ace14a9b124874d429a1b68df4ca9f5db9f81bf786cd7,41033d52c0f62d63f50aec243d8d1d8bbc276d2ef99c4fd730aef853db8f70d1,a7431fb74a0ecc273dfe2d3845ef1c122aad64367191662289a19867a686b055
Friedel-CraftsAcylation,2,475,0.38526315789473686,0.5157894736842106,0.5494736842105263,0.5894736842105263,da0b093ee5f21fd1e93b85269b942b0a336d1c5622a2339e454317120a25790c,0affa5f2716c2a15902c0756521bd294e9deee8fd0e99dc1910987f4d29a2880,a7431fb74a0ecc273dfe2d3845ef1c122aad64367191662289a19867a686b055
Friedel-CraftsAlkylation,0,899,0.21802002224694106,0.3359288097886541,0.37263626251390436,0.41379310344827586,e73982270a6ea18a585dfb5bb9a9f8c19dec86f853af44cb9fb183d6799f3dae,3411cfaee8b203296a4db43d5122469758d62d1ba90ca1877ddc050a49332a64,ff3230145a942a901b659523f14084b628a7fe66b15eb9de3acc3bba7367d4a3
