,,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_n,temp_n,temp_n,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckmann,full,0.4156028368794326,0.0024568096561260705,3,0.12340425531914893,0.041036811748906186,3,0.18014184397163122,0.03193852552963888,3,0.21702127659574466,0.03323510500385809,3,0.26382978723404255,0.029481715873512792,3,0.16906333658249428,0.035185645294577836,3,0.17961434837578324,0.03430013083587866,3,67.0,1.7320508075688772,3,12.58322817750377,1.650496346554031,3,0.3646304675716441,0.08677534884116736,3,0.5723227752639518,0.02449332315146176,3,0.8014328808446455,0.026448663749193874,3
Beckmann,no_ltr,0.4156028368794326,0.0024568096561260705,3,0.12907801418439716,0.010708985014568446,3,0.1914893617021277,0.01534277138495314,3,0.21134751773049643,0.006500107368731677,3,0.24113475177304966,0.0024568096561260705,3,0.17149700316992963,0.008543461115417062,3,0.17858693804644057,0.00524581925384726,3,0.0,0.0,3,,,0,,,0,,,0,,,0
Beckmann,no_rgnn_temperature,0.4156028368794326,0.0024568096561260705,3,0.12340425531914893,0.041036811748906186,3,0.18014184397163122,0.03193852552963888,3,0.21702127659574466,0.03323510500385809,3,0.26382978723404255,0.029481715873512792,3,0.16906333658249428,0.035185645294577836,3,0.17961434837578324,0.03430013083587866,3,67.0,1.7320508075688772,3,13.750514736598793,1.7096672040857992,3,0.30935143288084466,0.051857026440787664,3,0.5134992458521871,0.06541957344664913,3,0.7867269984917044,0.038141691991712925,3
Buchwald-HartwigCross-Coupling,full,0.5198665453442524,0.003788291172822802,3,0.3102820746132848,0.0009099181073703375,3,0.40248710949347893,0.003677390249615446,3,0.427054898392478,0.002924977482861081,3,0.45859872611464964,0.005534815769152156,3,0.36427531901364546,0.0013567053834723326,3,0.3771479999336392,0.0019050985782621745,3,487.3333333333333,4.163331998932273,3,12.01792595417549,0.48320451149733434,3,0.35155267326573886,0.014739279123695017,3,0.5608515280643062,0.006858037429718691,3,0.8186942513747146,0.013005811336438324,3
Buchwald-HartwigCross-Coupling,no_ltr,0.5198665453442524,0.003788291172822802,3,0.2502274795268426,0.003966241076925119,3,0.3084622383985441,0.003966241076925112,3,0.32423415225963,0.0034448943559601242,3,0.3372763117986048,0.0034448943559600995,3,0.28761903659934757,0.0019531461043886546,3,0.2933287558725253,0.00043914238078971666,3,0.0,0.0,3,,,0,,,0,,,0,,,0
Buchwald-HartwigCross-Coupling,no_rgnn_temperature,0.5198665453442524,0.003788291172822802,3,0.3102820746132848,0.0009099181073703375,3,0.40248710949347893,0.003677390249615446,3,0.427054898392478,0.002924977482861081,3,0.45859872611464964,0.005534815769152156,3,0.36427531901364546,0.0013567053834723326,3,0.3771479999336392,0.0019050985782621745,3,487.3333333333333,4.163331998932273,3,12.420626843399297,0.7131295772655002,3,0.35351814108897134,0.021051293784750676,3,0.5594262130765375,0.02105094311280547,3,0.8173420720024973,0.010203035653179213,3
Chan_LamCoupling,full,0.6512820512820513,0.0,3,0.2564102564102564,0.013567955441356859,3,0.4205128205128205,0.016012815380508725,3,0.4760683760683761,0.014580104366864943,3,0.535042735042735,0.007401926528072099,3,0.35347726283882636,0.008155431149771365,3,0.38290107692510467,0.005705106064269561,3,238.33333333333334,0.5773502691896278,3,5.8779121741031135,0.21763879967698738,3,0.6601268122311686,0.02647309166166658,3,0.854540979571745,0.0027709402533097932,3,0.9482437326394993,0.00650298319163205,3
Chan_LamCoupling,no_ltr,0.6512820512820513,0.0,3,0.3615384615384616,0.0076923076923077205,3,0.4581196581196581,0.00533760512683627,3,0.4854700854700855,0.005921541222457719,3,0.5094017094017094,0.0029607706112288394,3,0.4181341792591849,0.003791700638094271,3,0.4307063015381402,0.0034182201803886958,3,0.0,0.0,3,,,0,,,0,,,0,,,0
