system,seed,family,candidate_slates,missing_candidate_slates,temp_n,rr1,rr3,rr5,rr10,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,source_root
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Beckmann,232,3,67,0.4765957446808511,0.6680851063829787,0.6808510638297872,0.6978723404255319,0.42127659574468085,0.19574468085106383,0.23829787234042554,0.25957446808510637,0.3148936170212766,0.23268238094177102,0.23964821466700723,10.397869117224394,0.3283582089552239,0.6716417910447762,0.8805970149253731,/tmp/prosys_parallel_multiseed_20260903/seed_0_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Buchwald-HartwigCross-Coupling,1098,1,537,0.456778889899909,0.6105550500454959,0.6596906278434941,0.6997270245677889,0.5896269335759782,0.3348498635122839,0.448589626933576,0.4904458598726115,0.5259326660600546,0.40270534306546635,0.4227465736715314,12.27978047134712,0.35567970204841715,0.5642458100558659,0.8175046554934823,/tmp/prosys_parallel_multiseed_20260903/seed_0_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Chan_LamCoupling,390,0,267,0.6256410256410256,0.7282051282051282,0.7589743589743589,0.7743589743589744,0.7282051282051282,0.3128205128205128,0.45384615384615384,0.5282051282051282,0.6051282051282051,0.40492184356150185,0.43640541596595706,6.283153619659081,0.6404494382022472,0.8352059925093633,0.9400749063670412,/tmp/prosys_parallel_multiseed_20260903/seed_0_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,DielsAlder,742,20,208,0.23490813648293962,0.3136482939632546,0.33858267716535434,0.37270341207349084,0.34776902887139105,0.14304461942257218,0.2047244094488189,0.22965879265091863,0.26246719160104987,0.18313413818775892,0.1927211370269743,18.255714956384438,0.2403846153846154,0.4423076923076923,0.6875,/tmp/prosys_parallel_multiseed_20260903/seed_0_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Friedel-CraftsAcylation,473,2,270,0.5031578947368421,0.6378947368421053,0.6694736842105263,0.7031578947368421,0.6484210526315789,0.21473684210526317,0.3242105263157895,0.3768421052631579,0.4610526315789474,0.2929390913315914,0.3092579373358365,10.845992193840168,0.43703703703703706,0.6592592592592592,0.8555555555555555,/tmp/prosys_parallel_multiseed_20260903/seed_0_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Friedel-CraftsAlkylation,898,1,436,0.3103448275862069,0.44271412680756395,0.4905450500556173,0.5439377085650723,0.5105672969966629,0.23248053392658508,0.353726362625139,0.403781979977753,0.43715239154616237,0.3049050017115503,0.3265031729886404,11.107499714086362,0.3922018348623853,0.6123853211009175,0.8463302752293578,/tmp/prosys_parallel_multiseed_20260903/seed_0_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Beckmann,232,3,71,0.4765957446808511,0.6680851063829787,0.6808510638297872,0.6978723404255319,0.425531914893617,0.10638297872340424,0.18297872340425533,0.2297872340425532,0.25957446808510637,0.16158056886035005,0.1729707858037118,10.066050067753858,0.4647887323943662,0.7183098591549296,0.9014084507042254,/tmp/prosys_parallel_multiseed_20260903/seed_1_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Buchwald-HartwigCross-Coupling,1098,1,538,0.456778889899909,0.6105550500454959,0.6596906278434941,0.6997270245677889,0.5914467697907189,0.3348498635122839,0.4494995450409463,0.48316651501364877,0.5250227479526842,0.4029857531771227,0.4213751147096866,12.015308532573034,0.3345724907063197,0.5650557620817844,0.8271375464684015,/tmp/prosys_parallel_multiseed_20260903/seed_1_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Chan_LamCoupling,390,0,268,0.6256410256410256,0.7282051282051282,0.7589743589743589,0.7743589743589744,0.7307692307692307,0.37948717948717947,0.5102564102564102,0.5538461538461539,0.6051282051282051,0.4617063116240167,0.4810498156649605,5.664197191373626,0.6865671641791045,0.8432835820895522,0.9365671641791045,/tmp/prosys_parallel_multiseed_20260903/seed_1_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,DielsAlder,742,20,208,0.23490813648293962,0.3136482939632546,0.33858267716535434,0.37270341207349084,0.3464566929133858,0.17191601049868765,0.21653543307086612,0.22965879265091863,0.26246719160104987,0.2032853430113431,0.20884548551029777,17.62823877985088,0.32211538461538464,0.46634615384615385,0.7019230769230769,/tmp/prosys_parallel_multiseed_20260903/seed_1_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Friedel-CraftsAcylation,473,2,270,0.5031578947368421,0.6378947368421053,0.6694736842105263,0.7031578947368421,0.6484210526315789,0.2463157894736842,0.37894736842105264,0.4168421052631579,0.49894736842105264,0.32944203739111183,0.3500804593410123,10.885776125722462,0.45185185185185184,0.6777777777777778,0.8518518518518519,/tmp/prosys_parallel_multiseed_20260903/seed_1_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Friedel-CraftsAlkylation,898,1,440,0.3103448275862069,0.44271412680756395,0.4905450500556173,0.5439377085650723,0.5150166852057843,0.27474972191323693,0.3870967741935484,0.42602892102335926,0.45272525027808674,0.33972163452490906,0.3566533139012058,11.037113684212619,0.37272727272727274,0.6204545454545455,0.8454545454545455,/tmp/prosys_parallel_multiseed_20260903/seed_1_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Beckmann,232,3,71,0.4765957446808511,0.6680851063829787,0.6808510638297872,0.6978723404255319,0.4297872340425532,0.1148936170212766,0.17872340425531916,0.22553191489361704,0.2680851063829787,0.16314448582249932,0.17647507519930233,12.623080209946968,0.30985915492957744,0.5633802816901409,0.8591549295774648,/tmp/prosys_parallel_multiseed_20260903/seed_2_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Buchwald-HartwigCross-Coupling,1098,1,542,0.456778889899909,0.6105550500454959,0.6596906278434941,0.6997270245677889,0.5950864422202001,0.3312101910828026,0.4558689717925387,0.48134667879890813,0.5222929936305732,0.4031718401349317,0.4199641114599885,11.474345358535372,0.3505535055350554,0.577490774907749,0.8376383763837638,/tmp/prosys_parallel_multiseed_20260903/seed_2_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Chan_LamCoupling,390,0,267,0.6256410256410256,0.7282051282051282,0.7589743589743589,0.7743589743589744,0.7282051282051282,0.4282051282051282,0.5564102564102564,0.6,0.6384615384615384,0.5036404716077256,0.5228879159796693,5.556208395332879,0.6891385767790262,0.8539325842696629,0.947565543071161,/tmp/prosys_parallel_multiseed_20260903/seed_2_work
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,DielsAlder,742,20,208,0.23490813648293962,0.3136482939632546,0.33858267716535434,0.37270341207349084,0.34776902887139105,0.16010498687664043,0.22178477690288714,0.24146981627296588,0.2690288713910761,0.19902749730984945,0.20524419502632463,19.760967283008192,0.21153846153846154,0.3894230769230769,0.6201923076923077,/tmp/prosys_parallel_multiseed_20260903/seed_2_work
