system,seed,family,candidate_slates,missing_candidate_slates,temp_n,rr1,rr3,rr5,rr10,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,source_root
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Beckmann,232,3,73,0.4765957446808511,0.6680851063829787,0.6808510638297872,0.6978723404255319,0.4425531914893617,0.1617021276595744,0.2170212765957446,0.2382978723404255,0.2808510638297872,0.2049259552854544,0.2074294343728602,10.995456480000117,0.3698630136986301,0.6027397260273972,0.8356164383561644,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_0
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Buchwald-HartwigCross-Coupling,1098,1,544,0.456778889899909,0.6105550500454959,0.6596906278434941,0.6997270245677889,0.5969062784349408,0.3175614194722475,0.445859872611465,0.4795268425841674,0.5250227479526842,0.3926745904168568,0.4144252502222885,12.050251357695636,0.3327205882352941,0.5716911764705882,0.8216911764705882,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_0
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Chan_LamCoupling,390,0,264,0.6256410256410256,0.7282051282051282,0.7589743589743589,0.7743589743589744,0.7205128205128205,0.4358974358974359,0.5641025641025641,0.6102564102564103,0.6461538461538462,0.5100892259088424,0.5277473829154602,5.85727822599989,0.6704545454545454,0.8371212121212122,0.9545454545454546,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_0
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,DielsAlder,742,20,207,0.2349081364829396,0.3136482939632546,0.3385826771653543,0.3727034120734908,0.3425196850393701,0.1574803149606299,0.2191601049868766,0.2427821522309711,0.2690288713910761,0.1968952313131692,0.2064582219920782,17.953237406351573,0.2560386473429952,0.4927536231884058,0.6859903381642513,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_0
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Friedel-CraftsAcylation,473,2,275,0.5031578947368421,0.6378947368421053,0.6694736842105263,0.7031578947368421,0.6589473684210526,0.3178947368421053,0.4442105263157895,0.4842105263157895,0.5368421052631579,0.396855778603277,0.4148862385430233,10.166395310705358,0.4509090909090909,0.6981818181818182,0.8581818181818182,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_0
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,Friedel-CraftsAlkylation,898,1,438,0.3103448275862069,0.4427141268075639,0.4905450500556173,0.5439377085650723,0.5127919911012235,0.2614015572858732,0.3737486095661846,0.4149054505005561,0.4471635150166851,0.3286126480239255,0.3467641834756299,9.953437934999595,0.3904109589041096,0.6575342465753424,0.8812785388127854,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_0
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Beckmann,232,3,71,0.4765957446808511,0.6680851063829787,0.6808510638297872,0.6978723404255319,0.4297872340425532,0.1702127659574468,0.2382978723404255,0.276595744680851,0.2978723404255319,0.2169472576023311,0.2245013971439801,10.77561124949388,0.3661971830985915,0.6338028169014085,0.8591549295774648,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_1
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Buchwald-HartwigCross-Coupling,1098,1,540,0.456778889899909,0.6105550500454959,0.6596906278434941,0.6997270245677889,0.5923566878980892,0.3266606005459509,0.445859872611465,0.4822565969062785,0.5277525022747953,0.3983529747839491,0.4175880987370914,12.47451283843429,0.3388888888888889,0.5425925925925926,0.8111111111111111,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_1
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Chan_LamCoupling,390,0,264,0.6256410256410256,0.7282051282051282,0.7589743589743589,0.7743589743589744,0.7205128205128205,0.4230769230769231,0.5333333333333333,0.5769230769230769,0.6102564102564103,0.4895162964395018,0.5019564331395454,5.747847594094999,0.6325757575757576,0.8560606060606061,0.9583333333333334,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_1
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,DielsAlder,742,20,206,0.2349081364829396,0.3136482939632546,0.3385826771653543,0.3727034120734908,0.3425196850393701,0.1627296587926509,0.2125984251968503,0.2427821522309711,0.2703412073490813,0.2004701536065099,0.2090782433654611,19.58446380770901,0.2572815533980582,0.4077669902912621,0.6747572815533981,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_1
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Friedel-CraftsAcylation,473,2,275,0.5031578947368421,0.6378947368421053,0.6694736842105263,0.7031578947368421,0.6589473684210526,0.2463157894736842,0.3810526315789473,0.431578947368421,0.5073684210526316,0.334994347580778,0.3573781894480093,11.682820547778498,0.4145454545454545,0.6290909090909091,0.8327272727272728,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_1
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,Friedel-CraftsAlkylation,898,1,439,0.3103448275862069,0.4427141268075639,0.4905450500556173,0.5439377085650723,0.5139043381535039,0.2814238042269187,0.3848720800889877,0.4271412680756395,0.4571746384872079,0.3420157056136819,0.3600618492237282,10.425728905021058,0.3940774487471526,0.6150341685649203,0.8656036446469249,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_1
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Beckmann,232,3,73,0.4765957446808511,0.6680851063829787,0.6808510638297872,0.6978723404255319,0.4340425531914894,0.19148936170212766,0.23404255319148937,0.26382978723404255,0.3021276595744681,0.2268778670358134,0.2300775275010548,12.247839829693103,0.3424657534246575,0.4794520547945205,0.863013698630137,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_2
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Buchwald-HartwigCross-Coupling,1098,1,543,0.456778889899909,0.6105550500454959,0.6596906278434941,0.6997270245677889,0.5959963603275705,0.33393994540491356,0.4494995450409463,0.4904458598726115,0.526842584167425,0.4041606666040812,0.42210452413441407,12.069597212649182,0.35174953959484345,0.5893186003683242,0.8084714548802947,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_2
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Chan_LamCoupling,390,0,264,0.6256410256410256,0.7282051282051282,0.7589743589743589,0.7743589743589744,0.7230769230769231,0.38974358974358975,0.5256410256410257,0.5564102564102564,0.6076923076923076,0.4691819902498424,0.48719203542679473,6.13904310446797,0.6856060606060606,0.8333333333333334,0.9242424242424242,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_2
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,DielsAlder,742,20,208,0.23490813648293962,0.3136482939632546,0.33858267716535434,0.37270341207349084,0.3451443569553806,0.15091863517060367,0.20866141732283464,0.2204724409448819,0.24934383202099739,0.18789900561760156,0.19244922728520583,20.89917237454882,0.22596153846153846,0.41346153846153844,0.6153846153846154,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_2
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Friedel-CraftsAcylation,473,2,275,0.5031578947368421,0.6378947368421053,0.6694736842105263,0.7031578947368421,0.6589473684210526,0.2757894736842106,0.368421052631579,0.4210526315789474,0.5094736842105263,0.34785400502642855,0.3658315325757982,11.222278312729163,0.41818181818181815,0.6545454545454545,0.84,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_2
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,Friedel-CraftsAlkylation,898,1,436,0.3103448275862069,0.44271412680756395,0.4905450500556173,0.5439377085650723,0.5105672969966629,0.27697441601779754,0.3848720800889877,0.42602892102335926,0.46051167964404893,0.3416667389491135,0.35928624530770076,10.857780344408313,0.40825688073394495,0.6100917431192661,0.8577981651376146,/root/autodl-tmp/ProSys/Experiment/stage23_product_morgan_reafnn_multiseed_20260830/source_records/seed_2
