family,seed,stage1_route_recall_exact,stage2_protocol_exact,candidate_pool_exact,ranking_metrics_exact,temperature_support_exact,full_temperature_feature_count,full_route_gnn_feature_count,no_rgnn_temperature_feature_count,no_rgnn_has_route_gnn_features
Beckmann,0,True,True,True,True,True,180,128,52,False
Buchwald-HartwigCross-Coupling,0,True,True,True,True,True,180,128,52,False
Chan_LamCoupling,0,True,True,True,True,True,180,128,52,False
DielsAlder,0,True,True,True,True,True,180,128,52,False
Friedel-CraftsAcylation,0,True,True,True,True,True,180,128,52,False
Friedel-CraftsAlkylation,0,True,True,True,True,True,180,128,52,False
Beckmann,1,True,True,True,True,True,180,128,52,False
Buchwald-HartwigCross-Coupling,1,True,True,True,True,True,180,128,52,False
Chan_LamCoupling,1,True,True,True,True,True,180,128,52,False
DielsAlder,1,True,True,True,True,True,180,128,52,False
Friedel-CraftsAcylation,1,True,True,True,True,True,180,128,52,False
Friedel-CraftsAlkylation,1,True,True,True,True,True,180,128,52,False
Beckmann,2,True,True,True,True,True,180,128,52,False
Buchwald-HartwigCross-Coupling,2,True,True,True,True,True,180,128,52,False
Chan_LamCoupling,2,True,True,True,True,True,180,128,52,False
DielsAlder,2,True,True,True,True,True,180,128,52,False
Friedel-CraftsAcylation,2,True,True,True,True,True,180,128,52,False
Friedel-CraftsAlkylation,2,True,True,True,True,True,180,128,52,False
