arm,seed,family,n_test_manifest,candidate_slates,missing_candidate_slates,candidate_recall,sys_at_1,sys_at_3,sys_at_5,sys_at_10,mrr,ndcg_at_10,temperature_n,temperature_mae,temperature_within_5c,temperature_within_10c,temperature_within_20c
no_rgnn_temperature,0,Beckmann,235,232,3,0.42127659574468085,0.19574468085106383,0.23829787234042554,0.25957446808510637,0.3148936170212766,0.23268238094177102,0.23964821466700723,67,12.589014101384292,0.34328358208955223,0.5970149253731343,0.8208955223880597
no_rgnn_temperature,0,Buchwald-HartwigCross-Coupling,1099,1098,1,0.5896269335759782,0.3348498635122839,0.448589626933576,0.4904458598726115,0.5259326660600546,0.40270534306546635,0.4227465736715314,537,13.013356722044989,0.3407821229050279,0.5456238361266295,0.8100558659217877
no_rgnn_temperature,0,Chan_LamCoupling,390,390,0,0.7282051282051282,0.3128205128205128,0.45384615384615384,0.5282051282051282,0.6051282051282051,0.40492184356150185,0.43640541596595706,267,6.779203739952059,0.5955056179775281,0.7677902621722846,0.947565543071161
no_rgnn_temperature,0,DielsAlder,762,742,20,0.34776902887139105,0.14304461942257218,0.2047244094488189,0.22965879265091863,0.26246719160104987,0.18313413818775892,0.1927211370269743,208,23.063393639687163,0.20192307692307693,0.35096153846153844,0.5769230769230769
no_rgnn_temperature,0,Friedel-CraftsAcylation,475,473,2,0.6484210526315789,0.21473684210526317,0.3242105263157895,0.3768421052631579,0.4610526315789474,0.2929390913315914,0.3092579373358365,270,12.26055641864185,0.40370370370370373,0.6259259259259259,0.8111111111111111
no_rgnn_temperature,0,Friedel-CraftsAlkylation,899,898,1,0.5105672969966629,0.23248053392658508,0.353726362625139,0.403781979977753,0.43715239154616237,0.3049050017115503,0.3265031729886404,436,13.403461044363747,0.28440366972477066,0.5298165137614679,0.7935779816513762
no_rgnn_temperature,1,Beckmann,235,232,3,0.425531914893617,0.10638297872340424,0.18297872340425533,0.2297872340425532,0.25957446808510637,0.16158056886035005,0.1729707858037118,71,14.926043629646301,0.2676056338028169,0.4788732394366197,0.7605633802816901
no_rgnn_temperature,1,Buchwald-HartwigCross-Coupling,1099,1098,1,0.5914467697907189,0.3348498635122839,0.4494995450409463,0.48316651501364877,0.5250227479526842,0.4029857531771227,0.4213751147096866,538,12.256004634842997,0.3420074349442379,0.570631970260223,0.8327137546468402
no_rgnn_temperature,1,Chan_LamCoupling,390,390,0,0.7307692307692307,0.37948717948717947,0.5102564102564102,0.5538461538461539,0.6051282051282051,0.4617063116240167,0.4810498156649605,268,6.9070562008601515,0.6044776119402985,0.7835820895522388,0.9402985074626866
no_rgnn_temperature,1,DielsAlder,762,742,20,0.3464566929133858,0.17191601049868765,0.21653543307086612,0.22965879265091863,0.26246719160104987,0.2032853430113431,0.20884548551029777,208,23.537041138284483,0.1875,0.34615384615384615,0.5721153846153846
no_rgnn_temperature,1,Friedel-CraftsAcylation,475,473,2,0.6484210526315789,0.2463157894736842,0.37894736842105264,0.4168421052631579,0.49894736842105264,0.32944203739111183,0.3500804593410123,270,12.857130751703624,0.35185185185185186,0.6,0.8037037037037037
no_rgnn_temperature,1,Friedel-CraftsAlkylation,899,898,1,0.5150166852057843,0.27474972191323693,0.3870967741935484,0.42602892102335926,0.45272525027808674,0.33972163452490906,0.3566533139012058,440,13.553540018742735,0.32045454545454544,0.525,0.7727272727272727
no_rgnn_temperature,2,Beckmann,235,232,3,0.4297872340425532,0.1148936170212766,0.17872340425531916,0.22553191489361704,0.2680851063829787,0.16314448582249932,0.17647507519930233,71,14.891062069946612,0.2676056338028169,0.4507042253521127,0.7605633802816901
no_rgnn_temperature,2,Buchwald-HartwigCross-Coupling,1099,1098,1,0.5950864422202001,0.3312101910828026,0.4558689717925387,0.48134667879890813,0.5222929936305732,0.4031718401349317,0.4199641114599885,542,11.682485686017138,0.37453874538745385,0.5719557195571956,0.8136531365313653
no_rgnn_temperature,2,Chan_LamCoupling,390,390,0,0.7282051282051282,0.4282051282051282,0.5564102564102564,0.6,0.6384615384615384,0.5036404716077256,0.5228879159796693,267,7.244696316201142,0.599250936329588,0.7677902621722846,0.9325842696629213
no_rgnn_temperature,2,DielsAlder,762,742,20,0.34776902887139105,0.16010498687664043,0.22178477690288714,0.24146981627296588,0.2690288713910761,0.19902749730984945,0.20524419502632463,208,25.884163887454914,0.18269230769230768,0.3317307692307692,0.5192307692307693
no_rgnn_temperature,2,Friedel-CraftsAcylation,475,473,2,0.6484210526315789,0.2631578947368421,0.37473684210526315,0.43157894736842106,0.5073684210526316,0.3422638999743352,0.36243361943302405,270,12.519572969443269,0.3851851851851852,0.5962962962962963,0.8
no_rgnn_temperature,2,Friedel-CraftsAlkylation,899,898,1,0.5139043381535039,0.27919911012235815,0.3848720800889877,0.43270300333704115,0.46273637374860954,0.34410510936134897,0.3628317453801268,439,13.36415385195226,0.30068337129840544,0.5603644646924829,0.7881548974943052
rgnn_temperature,0,Beckmann,235,232,3,0.42127659574468085,0.19574468085106383,0.23829787234042554,0.25957446808510637,0.3148936170212766,0.23268238094177102,0.23964821466700723,67,10.397869117224394,0.3283582089552239,0.6716417910447762,0.8805970149253731
rgnn_temperature,0,Buchwald-HartwigCross-Coupling,1099,1098,1,0.5896269335759782,0.3348498635122839,0.448589626933576,0.4904458598726115,0.5259326660600546,0.40270534306546635,0.4227465736715314,537,12.27978047134712,0.35567970204841715,0.5642458100558659,0.8175046554934823
rgnn_temperature,0,Chan_LamCoupling,390,390,0,0.7282051282051282,0.3128205128205128,0.45384615384615384,0.5282051282051282,0.6051282051282051,0.40492184356150185,0.43640541596595706,267,6.283153619659081,0.6404494382022472,0.8352059925093633,0.9400749063670412
rgnn_temperature,0,DielsAlder,762,742,20,0.34776902887139105,0.14304461942257218,0.2047244094488189,0.22965879265091863,0.26246719160104987,0.18313413818775892,0.1927211370269743,208,18.255714956384438,0.2403846153846154,0.4423076923076923,0.6875
rgnn_temperature,0,Friedel-CraftsAcylation,475,473,2,0.6484210526315789,0.21473684210526317,0.3242105263157895,0.3768421052631579,0.4610526315789474,0.2929390913315914,0.3092579373358365,270,10.845992193840168,0.43703703703703706,0.6592592592592592,0.8555555555555555
rgnn_temperature,0,Friedel-CraftsAlkylation,899,898,1,0.5105672969966629,0.23248053392658508,0.353726362625139,0.403781979977753,0.43715239154616237,0.3049050017115503,0.3265031729886404,436,11.107499714086362,0.3922018348623853,0.6123853211009175,0.8463302752293578
rgnn_temperature,1,Beckmann,235,232,3,0.425531914893617,0.10638297872340424,0.18297872340425533,0.2297872340425532,0.25957446808510637,0.16158056886035005,0.1729707858037118,71,10.066050067753858,0.4647887323943662,0.7183098591549296,0.9014084507042254
rgnn_temperature,1,Buchwald-HartwigCross-Coupling,1099,1098,1,0.5914467697907189,0.3348498635122839,0.4494995450409463,0.48316651501364877,0.5250227479526842,0.4029857531771227,0.4213751147096866,538,12.015308532573034,0.3345724907063197,0.5650557620817844,0.8271375464684015
rgnn_temperature,1,Chan_LamCoupling,390,390,0,0.7307692307692307,0.37948717948717947,0.5102564102564102,0.5538461538461539,0.6051282051282051,0.4617063116240167,0.4810498156649605,268,5.664197191373626,0.6865671641791045,0.8432835820895522,0.9365671641791045
rgnn_temperature,1,DielsAlder,762,742,20,0.3464566929133858,0.17191601049868765,0.21653543307086612,0.22965879265091863,0.26246719160104987,0.2032853430113431,0.20884548551029777,208,17.62823877985088,0.32211538461538464,0.46634615384615385,0.7019230769230769
rgnn_temperature,1,Friedel-CraftsAcylation,475,473,2,0.6484210526315789,0.2463157894736842,0.37894736842105264,0.4168421052631579,0.49894736842105264,0.32944203739111183,0.3500804593410123,270,10.885776125722462,0.45185185185185184,0.6777777777777778,0.8518518518518519
rgnn_temperature,1,Friedel-CraftsAlkylation,899,898,1,0.5150166852057843,0.27474972191323693,0.3870967741935484,0.42602892102335926,0.45272525027808674,0.33972163452490906,0.3566533139012058,440,11.037113684212619,0.37272727272727274,0.6204545454545455,0.8454545454545455
rgnn_temperature,2,Beckmann,235,232,3,0.4297872340425532,0.1148936170212766,0.17872340425531916,0.22553191489361704,0.2680851063829787,0.16314448582249932,0.17647507519930233,71,12.623080209946968,0.30985915492957744,0.5633802816901409,0.8591549295774648
rgnn_temperature,2,Buchwald-HartwigCross-Coupling,1099,1098,1,0.5950864422202001,0.3312101910828026,0.4558689717925387,0.48134667879890813,0.5222929936305732,0.4031718401349317,0.4199641114599885,542,11.474345358535372,0.3505535055350554,0.577490774907749,0.8376383763837638
rgnn_temperature,2,Chan_LamCoupling,390,390,0,0.7282051282051282,0.4282051282051282,0.5564102564102564,0.6,0.6384615384615384,0.5036404716077256,0.5228879159796693,267,5.556208395332879,0.6891385767790262,0.8539325842696629,0.947565543071161
rgnn_temperature,2,DielsAlder,762,742,20,0.34776902887139105,0.16010498687664043,0.22178477690288714,0.24146981627296588,0.2690288713910761,0.19902749730984945,0.20524419502632463,208,19.760967283008192,0.21153846153846154,0.3894230769230769,0.6201923076923077
rgnn_temperature,2,Friedel-CraftsAcylation,475,473,2,0.6484210526315789,0.2631578947368421,0.37473684210526315,0.43157894736842106,0.5073684210526316,0.3422638999743352,0.36243361943302405,270,10.847048620603703,0.42592592592592593,0.6444444444444445,0.8518518518518519
rgnn_temperature,2,Friedel-CraftsAlkylation,899,898,1,0.5139043381535039,0.27919911012235815,0.3848720800889877,0.43270300333704115,0.46273637374860954,0.34410510936134897,0.3628317453801268,439,10.181588115276671,0.4396355353075171,0.6514806378132119,0.8656036446469249
