method,display_method,seed,family,n_test_manifest,candidate_slates,missing_candidate_slates,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temperature_n,temperature_mae,temperature_within_5c,temperature_within_10c,temperature_within_20c,selected_route_weight
product_gnn,B2 Product-GNN,0,Beckmann,235,232,3,0.2297872340425532,0.01276595744680851,0.04680851063829787,0.05531914893617021,0.09361702127659574,0.04019582540092451,0.04544843422932437,0,,,,,1.0
product_gnn,B2 Product-GNN,0,Buchwald-HartwigCross-Coupling,1099,1098,1,0.27934485896269334,0.015468607825295725,0.051865332120109194,0.09463148316651503,0.1410373066424022,0.05244612836253006,0.0666936720898878,0,,,,,1.0
product_gnn,B2 Product-GNN,0,Chan_LamCoupling,390,390,0,0.5846153846153846,0.1,0.2128205128205128,0.30512820512820515,0.4025641025641026,0.1920002215743909,0.23116031205769852,0,,,,,1.0
product_gnn,B2 Product-GNN,0,DielsAlder,762,742,20,0.2769028871391076,0.04330708661417323,0.08661417322834646,0.1089238845144357,0.15223097112860892,0.07659320876214255,0.08838344622946177,0,,,,,1.0
product_gnn,B2 Product-GNN,0,Friedel-CraftsAcylation,475,473,2,0.48,0.08421052631578947,0.18105263157894738,0.23157894736842105,0.3031578947368421,0.1537899538171232,0.17773870658943758,0,,,,,1.0
product_gnn,B2 Product-GNN,0,Friedel-CraftsAlkylation,899,898,1,0.43270300333704115,0.08008898776418243,0.15684093437152388,0.1968854282536151,0.25472747497219134,0.13625582823896187,0.15464644575453945,0,,,,,0.5
sequential_fnn,B3 EditRetro + Sequential FNN,0,Beckmann,235,232,3,0.3191489361702128,0.13617021276595745,0.17872340425531916,0.21276595744680848,0.23829787234042554,0.16967027793072095,0.1777054785728093,47,17.521256619311394,0.3191489361702128,0.5106382978723404,0.6595744680851063,1.5
sequential_fnn,B3 EditRetro + Sequential FNN,0,Buchwald-HartwigCross-Coupling,1099,1098,1,0.38034576888080074,0.06915377616014559,0.12283894449499545,0.1510464058234759,0.19927206551410373,0.11240889831024926,0.1262351465590562,339,8.365537643432617,0.5457227138643068,0.7728613569321534,0.9026548672566371,1.5
sequential_fnn,B3 EditRetro + Sequential FNN,0,Chan_LamCoupling,390,390,0,0.6948717948717948,0.3487179487179487,0.4641025641025641,0.5128205128205128,0.5615384615384615,0.42612119364040807,0.45195658429979385,253,7.057136573810351,0.6403162055335968,0.8300395256916996,0.9209486166007905,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,0,DielsAlder,762,742,20,0.31496062992125984,0.10498687664041995,0.15354330708661418,0.18241469816272965,0.20734908136482938,0.1408133457053658,0.15187113777149816,185,18.82386198559323,0.4,0.5405405405405406,0.6918918918918919,1.5
sequential_fnn,B3 EditRetro + Sequential FNN,0,Friedel-CraftsAcylation,475,473,2,0.5831578947368421,0.20210526315789473,0.3368421052631579,0.37473684210526315,0.4336842105263158,0.2849011828022953,0.3128277821327456,242,11.6559104461931,0.4628099173553719,0.6322314049586777,0.8305785123966942,1.0
sequential_fnn,B3 EditRetro + Sequential FNN,0,Friedel-CraftsAlkylation,899,898,1,0.4671857619577308,0.16240266963292546,0.2224694104560623,0.2447163515016685,0.26028921023359286,0.2020518854998738,0.20988442925989234,398,7.823242089182288,0.6030150753768844,0.7487437185929648,0.8894472361809045,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,0,Beckmann,235,232,3,0.3276595744680851,0.03404255319148936,0.08936170212765958,0.10212765957446808,0.14893617021276595,0.07369215035876497,0.08213058015486921,0,,,,,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,0,Buchwald-HartwigCross-Coupling,1099,1098,1,0.2966333030027298,0.04094631483166515,0.08007279344858963,0.09827115559599636,0.1392174704276615,0.07279883110789753,0.08227760467070315,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,0,Chan_LamCoupling,390,390,0,0.5615384615384615,0.14102564102564102,0.23076923076923078,0.2923076923076923,0.37435897435897436,0.21085373748033207,0.23915790866655234,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,0,DielsAlder,762,742,20,0.2782152230971129,0.049868766404199474,0.0774278215223097,0.0905511811023622,0.13385826771653545,0.07632489597228478,0.08350551430619454,0,,,,,2.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,0,Friedel-CraftsAcylation,475,473,2,0.47368421052631576,0.08,0.1831578947368421,0.24210526315789474,0.29894736842105263,0.15189308293187553,0.17891948514408149,0,,,,,1.5
reaction_gcnn,B4 EditRetro + Reaction-GCNN,0,Friedel-CraftsAlkylation,899,898,1,0.36484983314794217,0.0878754171301446,0.13236929922135707,0.14571746384872078,0.18020022246941045,0.12039546929241174,0.12691369216649498,0,,,,,2.0
product_gnn,B2 Product-GNN,1,Beckmann,235,232,3,0.20425531914893616,0.02127659574468085,0.04680851063829787,0.05531914893617021,0.09361702127659574,0.04414499917805118,0.049018135127402884,0,,,,,1.0
product_gnn,B2 Product-GNN,1,Buchwald-HartwigCross-Coupling,1099,1098,1,0.2802547770700637,0.017288444040036398,0.05004549590536852,0.08826205641492267,0.14285714285714288,0.052155329448869844,0.06757109225667868,0,,,,,2.0
product_gnn,B2 Product-GNN,1,Chan_LamCoupling,390,390,0,0.6153846153846154,0.12564102564102564,0.2282051282051282,0.2948717948717949,0.43333333333333335,0.21263317641799448,0.2528974911786519,0,,,,,1.0
product_gnn,B2 Product-GNN,1,DielsAlder,762,742,20,0.27296587926509186,0.05380577427821522,0.10498687664041995,0.12860892388451442,0.15879265091863518,0.0909052205535712,0.10152278223011584,0,,,,,2.0
product_gnn,B2 Product-GNN,1,Friedel-CraftsAcylation,475,473,2,0.5178947368421053,0.10105263157894737,0.20421052631578948,0.2610526315789474,0.3452631578947368,0.17836958214951654,0.2057245091933392,0,,,,,1.5
