method,family,candidate_slates,missing_candidate_slates,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temperature_n,temperature_mae,temperature_within_5c,temperature_within_10c,temperature_within_20c,route_weight,condition_weight,last_epoch,n_families
sequential_fnn,Beckmann,232,3,0.3191489361702128,0.13617021276595745,0.17872340425531916,0.21276595744680848,0.23829787234042554,0.16967027793072095,0.1777054785728093,47,17.521256619311394,0.3191489361702128,0.5106382978723404,0.6595744680851063,1.5,1.0,23,1
sequential_fnn,Buchwald-HartwigCross-Coupling,1098,1,0.38034576888080074,0.06915377616014559,0.12283894449499545,0.1510464058234759,0.19927206551410373,0.11240889831024926,0.1262351465590562,339,8.365537643432617,0.5457227138643068,0.7728613569321534,0.9026548672566371,1.5,1.0,34,1
sequential_fnn,Chan_LamCoupling,390,0,0.6948717948717948,0.3487179487179487,0.4641025641025641,0.5128205128205128,0.5615384615384615,0.42612119364040807,0.45195658429979385,253,7.057136573810351,0.6403162055335968,0.8300395256916996,0.9209486166007905,1.0,1.0,23,1
sequential_fnn,DielsAlder,742,20,0.31496062992125984,0.10498687664041995,0.15354330708661418,0.18241469816272965,0.20734908136482938,0.1408133457053658,0.15187113777149816,185,18.82386198559323,0.4,0.5405405405405406,0.6918918918918919,1.5,1.0,24,1
sequential_fnn,Friedel-CraftsAcylation,473,2,0.5831578947368421,0.20210526315789473,0.3368421052631579,0.37473684210526315,0.4336842105263158,0.2849011828022953,0.3128277821327456,242,11.6559104461931,0.4628099173553719,0.6322314049586777,0.8305785123966942,1.0,1.0,18,1
sequential_fnn,Friedel-CraftsAlkylation,898,1,0.4671857619577308,0.16240266963292546,0.2224694104560623,0.2447163515016685,0.26028921023359286,0.2020518854998738,0.20988442925989234,398,7.823242089182288,0.6030150753768844,0.7487437185929648,0.8894472361809045,2.0,1.0,20,1
reaction_gcnn,Beckmann,232,3,0.3276595744680851,0.03404255319148936,0.08936170212765958,0.10212765957446808,0.14893617021276595,0.07369215035876497,0.08213058015486921,0,,,,,2.0,1.0,50,1
reaction_gcnn,Buchwald-HartwigCross-Coupling,1098,1,0.2966333030027298,0.04094631483166515,0.08007279344858963,0.09827115559599636,0.1392174704276615,0.07279883110789753,0.08227760467070315,0,,,,,1.5,1.0,50,1
reaction_gcnn,Chan_LamCoupling,390,0,0.5615384615384615,0.14102564102564102,0.23076923076923078,0.2923076923076923,0.37435897435897436,0.21085373748033207,0.23915790866655234,0,,,,,1.5,1.0,50,1
reaction_gcnn,DielsAlder,742,20,0.2782152230971129,0.049868766404199474,0.0774278215223097,0.0905511811023622,0.13385826771653545,0.07632489597228478,0.08350551430619454,0,,,,,2.0,1.0,50,1
reaction_gcnn,Friedel-CraftsAcylation,473,2,0.47368421052631576,0.08,0.1831578947368421,0.24210526315789474,0.29894736842105263,0.15189308293187553,0.17891948514408149,0,,,,,1.5,1.0,35,1
reaction_gcnn,Friedel-CraftsAlkylation,898,1,0.36484983314794217,0.0878754171301446,0.13236929922135707,0.14571746384872078,0.18020022246941045,0.12039546929241174,0.12691369216649498,0,,,,,2.0,1.0,50,1
reaction_gcnn,MACRO-AVG,3833,27,0.38376343429677456,0.07229311543052326,0.1321931236376648,0.16184673593118906,0.21258641226773337,0.11765969452392777,0.1321507975181493,0,,,,,,,,6
sequential_fnn,MACRO-AVG,3833,27,0.4599451310897735,0.17058945784588198,0.24641995594311883,0.2797501279767431,0.31673848358628814,0.2226611306481522,0.23841342643263255,1464,11.874490892920498,0.4951688080500622,0.6725091407647295,0.8158492654020041,,,,6
