Reaction ID,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product.1,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details)
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,,,1,,,,,0.416667,60,,,,Schmidt reaction,,,,,,,piperidin-2-one,95 percent,95,,,sodium azide; sulfuric acid; silica gel,,
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,,,1,,,,,8,25,757.576,,Electrochemical reaction,,,,,Experimental part,supporting information,,piperidin-2-one,92 percent,92,,,potassium nitrate,,water; acetonitrile
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,Typical procedure for the preparation of amide under microwave heating:,"General procedure: Acetophenone 1a (1.0 g, 8.3 mmol), acetohydroxamic acid (0.92 g, 12.5 mmol), acetonitrile (3 ml), and conc. H2SO4 (0.2 ml) were taken into a 10 ml pressure tube and subjected to microwave heating (CEM discover, 360 W, 80 C, 25 psi) for 10 min. The crude product obtained was purified as mentioned above to afford acetanilide 2a (0.94 g, 86%) and it gave spectral data same as above.",1,,,,,0.133333,80,1292.9,,Microwave irradiation,,,,,,experimental part,,piperidin-2-one,87 percent,87,,,acetylhydroxamic acid; sulfuric acid,,acetonitrile
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,,,1,,,,,6,120,,,neat (no solvent),Beckmann rearrangement,,,,,experimental part,,piperidin-2-one,80 percent,80,,,hydroxylamine hydrochloride,,
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,,,1,,,,,,,,,,,,,,,,,,,,,,sodium azide; sulfuric acid,,
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,,,1,,,,,,,,,,,,,,,,,,,,,,sulfuric acid; hydroxylamine,,
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,,,1,,,,,,,,,,,,,,,,,,,,,,sodium azide; PPA,,
706015,12,106,full reaction; has preparation; has multi-step,cyclopentanone,piperidin-2-one,129013,O=C1CCCC1>>O=C1CCCCN1,Preparation,,,,1,,,2.0,,2,100; 140,,,,Beckmann rearrangement,,,,,,,piperidin-2-one,90 percent Spectr.,,,cyclopentanone,aluminum oxide; methanesulfonic acid; hydroxylamine hydrochloride,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,1,Example 3,"General procedure: Table 2 shows the results of examining various catalysts in the reaction of synthesizing N- (2-naphthyl) acetamide from 2-acetonaphthone. Examples of the acid catalyst include hydrochloric acid, sulfuric acid, methanesulfonic acid, tosylic acid monohydrate, trifluoromethanesulfonic acid, bistrifluoromethanesulfonimide, boron trifluoride diethyl ether complex, scandium (III) trifluoromethanesulfonate, trifluoromethanesulfone Iron (III) oxide, trifluoromethanesulfoCopper (II) trifluoromethanesulfonate, bismuth trifluoromethanesulfonate (III), titanium tetrachloride and iron trichloride have excellent effects (Entries 2 to 14).",1,,,,,,20,,,Inert atmosphere,Beckmann Rearrangement,,,,,Paragraph 0029; 0031,,4-methoxyacetanilide,96 percent,96,,,O-trifluorobenzenesulfonyl-acetohydroxamic acid ethyl ester; toluene-4-sulfonic acid,,water; acetonitrile
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,24,23,,,Inert atmosphere,,,,,Experimental part,,,4-methoxyacetanilide,96 percent,96,,,ethyl O-(benzenesulfonyl)acetohydroxamate; toluene-4-sulfonic acid,,water; acetonitrile
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,0.0333333,,,,microwave irradiation,,,,,,,,4-methoxyacetanilide,95 percent,95,,,XY-zeolite; hydroxylamine hydrochloride,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,General procedure for the preparation of amides from ketones,"General procedure: To a round bottom flask, equipped with a magnetic stirring bar, was added ketone 1 (0.5 mmol, 1.0 equiv.) and acetonitrile (2 mL) at room temperature. To this stirred solution, freshly prepared O-(Mesitylsulfonyl)hydroxylamine 2 (2.0 equiv.) was added. The reaction mixture was stirred for the specified duration and temperature. The progress of the reaction was monitored by TLC. After completion, the reaction mixture was diluted with ethyl acetate (10 mL) and washed with a saturated aqueous NaHCO3 solution (3 x 5 mL). The combined organic layer was washed with brine solution and dried over anhydrous Na2SO4. Solvent was removed under reduced pressure to get the crude product. The reaction that required elevated temperature was stirred first at room temperature for 2 hours after addition of MSH and then heated at 70 C for the specified time.",1,,,,,5,20,,,,,,,,Experimental part,supporting information,,4-methoxyacetanilide,95 percent,95,,,mesitylenesulfonylhydroxylamine,,acetonitrile
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,Secondary Amides from Ketones; General Procedure,"General procedure: To a stirring solution of ZnCl2 (0.05 mmol, 10 mol%) in H2O (2 mL) at r.t. in an open round-bottom flask, ketone 1 (0.5 mmol, 1.0 equiv) wasadded, followed by HOSA (1.5 equiv). The reaction mixture was stirred at the indicated temperature and for the duration indicated in Scheme 2. After completion, the reaction mixture was diluted with EtOAc (15 mL) and washed with sat. aq Na2CO3 (3 ¡Á 5 mL). The organic layer was washed with brine (5 mL) and dried over anhydrous Na2SO4.The crude product obtained after removal of all volatiles in vacuo was washed with n-hexane to remove some minor nonpolar impurities.",1,,,,,3,20,,,,Beckmann Rearrangement,,,,Experimental part,,,4-methoxyacetanilide,95 percent,95,,,zinc(II) chloride; hydroxylamine-O-sulfonic acid,,water
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,6,20,,,,Beckmann Rearrangement,,,,Experimental part,supporting information,,4-methoxyacetanilide,95 percent,95,,,"2,2,2-trifluoroethanol; tert-butyl N-tosyloxycarbamate",,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,0.0333333,160,,,microwave irradiation,,,,,,,,4-methoxyacetanilide,93 percent,93,,,hydroxylamine hydrochloride,tetrachlorosilane,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,4,100,,,,,,,,,,,4-methoxyacetanilide,91 percent,91,,,hydroxylamine hydrochloride; oxalic acid,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,0.0416667,,,,Heating,,,,,,,,4-methoxyacetanilide,90 percent,90,,,sodium hydrogen sulfate; hydroxylamine hydrochloride; silica gel,,
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,Typical procedure for the preparation of amide under microwave heating:,"General procedure: Acetophenone 1a (1.0 g, 8.3 mmol), acetohydroxamic acid (0.92 g, 12.5 mmol), acetonitrile (3 ml), and conc. H2SO4 (0.2 ml) were taken into a 10 ml pressure tube and subjected to microwave heating (CEM discover, 360 W, 80 C, 25 psi) for 10 min. The crude product obtained was purified as mentioned above to afford acetanilide 2a (0.94 g, 86%) and it gave spectral data same as above.",1,,,,,0.2,80,1292.9,,Microwave irradiation,,,,,,experimental part,,4-methoxyacetanilide,90 percent,90,,,acetylhydroxamic acid; sulfuric acid,,acetonitrile
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,14,20,,,,,,,,Experimental part,supporting information,,4-methoxyacetanilide,90 percent,90,,,trifluoroacetic acid; tert-butyl (pyrimidin-2-yloxy)carbamate,,dichloromethane
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,,,1,,,,,8,25,757.576,,Electrochemical reaction,,,,,Experimental part,supporting information,,4-methoxyacetanilide,90 percent,90,,,potassium nitrate,,water; acetonitrile
782207,44,106,full reaction; has preparation; has multi-step,1-(4-methoxyphenyl)ethanone,4-methoxyacetanilide,278869,COC1=CC=C(C=C1)C(C)=O>>COC1=CC=C(NC(C)=O)C=C1,Preparation,,4.3. Procedure for the synthesis of 2,"General procedure: Acetophenone (0.2 mmol), Q[8]-PTA (5 mol%), NH2OHHCl (1.2 equiv.) and CH3CN were added to the reaction tube and the reaction was heated in a closed oil bath at 80 C for 6h. The reaction process is monitored using TLC. After completion of the reaction, the reaction tube was removed and cooled to room temperature. Filtration for catalyst recovery. After concentration under reduced pressure, the residue was purified by silica gel column chromatography using a mixture of petroleum ether and ethyl acetate as the eluent to obtain the desired product N-phenylacetamide (2).",1,,,,,6,80,,,Schlenk technique,,,,,Experimental part,supporting information,,4-methoxyacetanilide,87 percent,87,,,hydroxylamine hydrochloride; C48H48N32O16*3H(1+)*O40PW12(3-),,acetonitrile
