((2r,4r)-4-(benzyloxy)pyrrolidin-2-yl)diphenylmethanol	OC(c1ccccc1)(c1ccccc1)[C@H]1C[C@@H](OCc2ccccc2)CN1
(+/-)-binap	c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1
(-)-(s)-alpha,alpha-diphenylpyrrolidine-2-methanol methyl(diphenyl)silyl ether	C[Si](OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1)(c1ccccc1)c1ccccc1
(-)-2-(dicyclohexylphosphino)-2'-(dimethylamino)-1,1'-binaphthyl	CN(C)c1ccc2ccccc2c1-c1c(P(C2CCCCC2)C2CCCCC2)ccc2ccccc12
(1,1'-bis(diphenylphosphino)ferrocene)palladium(ii) dichloride	[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1.[CH]1[CH][CH][C](P(c2ccccc2)c2ccccc2)[CH]1.[Cl-].[Cl-].[Fe].[Pd+2]
(1,3-bis(2,6-diisopropyl-4-((e)-3-methoxy-3-oxoprop-1-en-1-yl)phenyl)-2,3-dihydro-1h-imidazole-2-yl)copper(i) chloride	COC(=O)/[C-]=C/c1cc(C(C)C)c(N2C=CN(c3c(C(C)C)cc(/C=C/C(=O)OC)cc3C(C)C)C2)c(C(C)C)c1.[Cl-].[Cu+]
(1,3-bis(2,6-diisopropylphenyl)-3,4,5,6-tetrahydropyrimidin-2-ylidene)pd(cinnamyl, 3-phenylallyl)cl	CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)[c]1=[Pd+].[CH2][CH][CH]c1ccccc1.[Cl-]
(1,3-bis(2,6-diisopropylphenyl)-4,5-dihydroimidazol-2-ylidene) (3-chloropyridyl) palladium(ii) dichloride	CC(C)c1cccc(C(C)C)c1N1[C-2]N(c2c(C(C)C)cccc2C(C)C)CC1.Clc1cccn[c]1[Pd+].[Cl-].[Cl-]
(1r,2r)-1,2-diaminocyclohexane	N[C@@H]1CCCC[C@H]1N
(1r,2s)-2,3-dihydro-1-(pyrrolidin-1-yl)-1h-inden-2-ol	O[C@H]1Cc2ccccc2[C@H]1N1CCCC1
(1s,2s)-n1,n1,n2,n2-tetramethylcyclohexane-1,2-diamine	CN(C)[C@H]1CCCC[C@@H]1N(C)C
(2)h8-toluene	Cc1ccccc1
(2,3,4,5,6-pentafluorophenyl)ammonium triflate	O=S(=O)([O-])C(F)(F)F.[NH3+]c1c(F)c(F)c(F)c(F)c1F
(2,6-dichlorophenyl)bis(2,3,5,6-tetrafluorophenyl)borane	Fc1cc(F)c(F)c(B(c2c(Cl)cccc2Cl)c2c(F)c(F)cc(F)c2F)c1F
(2-chloro-6-fluorophenyl)bis(2,6-dichlorophenyl)borane	Fc1cccc(Cl)c1B(c1c(Cl)cccc1Cl)c1c(Cl)cccc1Cl
(2-furyl)methyl alcohol	OCc1ccco1
(2-hydroxyphenyl)morpholin-4-yl-methanone	O=C(c1ccccc1O)N1CCOCC1
(2-mesityl-1h-inden-3-yl)dicyclohexyl phosphine	Cc1cc(C)c(C2=C(P(C3CCCCC3)C3CCCCC3)c3ccccc3C2)c(C)c1
(2-phenylethyl)diphenylphosphane	c1ccc(CCP(c2ccccc2)c2ccccc2)cc1
(2r)-1-[(1r)-1-[bis(1,1-dimethylethyl)phosphino]ethyl]-2-(dicyclohexylphosphino)ferrocene	CC([c-]1cccc1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1
(2s)-2-{diphenyl[(trimethylsilyl)oxy]methyl}pyrrolidine	C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1
(2s)-n-phenylpyrrolidine-2-carboxamide	O=C(Nc1ccccc1)[C@@H]1CCCN1
(3ar,8as)-2-(3-(3,5-di-tert-butylphenyl)-2,2-bis((s)-4-isopropyl-4,5-dihydrooxazol-2-yl)propyl)-8,8a-dihydro-3ah-indeno[1,2-d]oxazole	CC(C)[C@H]1COC(C(CC2=N[C@@H]3c4ccccc4C[C@@H]3O2)(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2)C2=N[C@@H](C(C)C)CO2)=N1
(3as,3a's,8ar,8a'r)-2,2'-(propane-2,2-diyl)bis(3a,8a-dihydro-8h-indeno[1,2-d]oxazole)	CC(C)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1
(4s,4's)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-benzyl-4,5-dihydrooxazole)	CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H](Cc3ccccc3)CO2)C2=N[C@@H](Cc3ccccc3)CO2)cc1
(4s,4's)-2,2'-(1,3-bis(4-fluorophenyl)propane-2,2-diyl)bis(4-benzyl-4,5-dihydrooxazole)	Fc1ccc(CC(Cc2ccc(F)cc2)(C2=N[C@@H](Cc3ccccc3)CO2)C2=N[C@@H](Cc3ccccc3)CO2)cc1
(4s,4s')-(-)-2,2'-(1-methylethylidene)bis[4,5-dihydro-4-(phenylmethyl)oxazole]	CC(C)(C1=NC(Cc2ccccc2)CO1)C1=NC(Cc2ccccc2)CO1
(5as,10br)-5a,10b-dihydro-2-(2,4,6-trimethylphenyl)-4h,6h-indeno[2,1-b]-1,2,4-triazolo[4,3-d]-1,4-oxazinium chloride	Cc1cc(C)c(-[n+]2cn3c(n2)CO[C@H]2Cc4ccccc4[C@H]23)c(C)c1.[Cl-]
(e)-1,4-bis(2,2-dioxido-3,3a,4,8b-tetrahydro-1h-indeno[1,2-c]isothiazol-1-yl)but-2-ene-1,4-dione	O=C(/C=C/C(=O)N1C2c3ccccc3CC2CS1(=O)=O)N1C2c3ccccc3CC2CS1(=O)=O
(r)-1,1'-bi-2-naphthol	Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
(r)-10-camphorsulfonic acid	CC1(C)C2CC[C@]1(CS(=O)(=O)O)C(=O)C2
(r)-2-(diphenyl(trimethylsilyloxy)methyl)pyrrolidine	C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@H]1CCCN1
(r)-3,3'-dibromo-1,1'-bi-2-naphthol	Oc1c(Br)cc2ccccc2c1-c1c(O)c(Br)cc2ccccc12
(r)-mandelic acid	O=C(O)[C@H](O)c1ccccc1
(s)-1-(2-amino-3,3-dimethylbutyl)-3-(3,5-bis(trifluoromethyl)phenyl)thiourea	CC(C)(C)[C@H](N)CNC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
(s)-2-((2-(hydroxydiphenylmethyl)pyrrolidin-1-yl)methyl)-6-(trifluoromethyl)phenol	Oc1c(CN2CCC[C@H]2C(O)(c2ccccc2)c2ccccc2)cccc1C(F)(F)F
(s)-2-(diphenyl((triethylsilyl)oxy)methyl)pyrrolidine	CC[Si](CC)(CC)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1
(s)-2-{bis[3,5-bis(trifluoromethyl)phenyl][(trimethylsilanyl)oxy]methyl}pyrrolidine	C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H]1CCCN1
(s)-4-(tert-butyl)-2-(isoquinolin-1-yl)-4,5-dihydrooxazole	CC(C)(C)[C@H]1COC(c2nccc3ccccc23)=N1
(s)-4-isopropyl-2-(3-((s)-4-isopropyl-1-(4-methoxyphenyl)-4,5-dihydro-1h-imidazol-2-yl)pentan-3-yl)-4,5-dihydrooxazole	CCC(CC)(C1=N[C@@H](C(C)C)CO1)C1=N[C@@H](C(C)C)CN1c1ccc(OC)cc1
(s)-4-methyl-n1-propylpentane-1,2-diamine	CCCNC[C@@H](N)CC(C)C
(s,s)-1,2-diaminocyclohexane	N[C@H]1CCCC[C@@H]1N
(s,s)-2,2'-isopropylidenebis(4-phenyl-2-oxazoline)	CC(C)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1
(trimethylsilyl)methylmagnesium chloride	C[Si](C)(C)[CH2][Mg][Cl]
(trimethylsilyl)methylzinc iodide	[CH2-][Si](C)(C)C.[I-].[Zn+2]
(triphenylphosphine)gold(i) chloride	[Au+].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1
1,1'-bi-2-naphthol	Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
1,1'-binaphthyl-2,2'-diyl hydrogenphosphate	O=P1(O)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
1,1'-biphenyl-2,2'-diyl hydrogen phosphate	O=P1(O)Oc2ccccc2-c2ccccc2O1
1,1'-bipyridyl	C1=CCN(N2C=CC=CC2)C=C1
1,1'-bis(diphenylphosphino)ferrocene	[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
1,1'-bis-(diphenylphosphino)ferrocene	[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
1,1,1,3',3',3'-hexafluoro-propanol	OC(C(F)(F)F)C(F)(F)F
1,1,1,3,3-pentafluorobutane	CC(F)(F)CC(F)(F)F
1,1,2,2-tetrachloroethane	ClC(Cl)C(Cl)Cl
1,1,3,3-tetramethyldisiloxane	C[SiH](C)O[SiH](C)C
